"ID","sMAPE","RMSE","MAE","MASE"
"9809","nnet","nnet","nnet","nnet"
"9810","ets","ets","ets","ets"
"9811","snaive","snaive","snaive","snaive"
"9812","snaive","snaive","snaive","snaive"
"9813","nnet","nnet","nnet","nnet"
"9814","nnet","nnet","nnet","nnet"
"9815","naive","naive","naive","naive"
"9816","arima","ets","ets","ets"
"9817","arima","arima","arima","arima"
"9818","naive","naive","naive","naive"
"9819","naive","naive","naive","naive"
"9820","ets","arima","arima","arima"
"9821","ets","ets","ets","ets"
"9822","naive","naive","naive","naive"
"9823","naive","naive","naive","naive"
"9824","ets","ets","ets","ets"
"9825","ets","ets","ets","ets"
"9826","arima","arima","arima","arima"
"9827","ets","ets","ets","ets"
"9828","nnet","nnet","nnet","nnet"
"9829","ets","ets","ets","ets"
"9830","arima","arima","arima","arima"
"9831","nnet","nnet","nnet","nnet"
"9832","arima","arima","arima","arima"
"9833","ets","ets","ets","ets"
"9834","naive","naive","naive","naive"
"9835","nnet","nnet","nnet","nnet"
"9836","naive","naive","naive","naive"
"9837","ets","ets","ets","ets"
"9838","ets","ets","ets","ets"
"9839","ets","ets","ets","ets"
"9840","nnet","nnet","nnet","nnet"
"9841","arima","arima","arima","arima"
"9842","ets","ets","ets","ets"
"9843","naive","naive","naive","naive"
"9844","naive","naive","naive","naive"
"9845","arima","arima","arima","arima"
"9846","naive","snaive","naive","naive"
"9847","nnet","nnet","nnet","nnet"
"9848","ets","ets","ets","ets"
"9849","ets","ets","ets","ets"
"9850","naive","naive","naive","naive"
"9851","arima","arima","arima","arima"
"9852","naive","naive","naive","naive"
"9853","arima","arima","arima","arima"
"9854","arima","snaive","arima","arima"
"9855","ets","ets","ets","ets"
"9856","naive","naive","naive","naive"
"9857","naive","naive","naive","naive"
"9858","arima","arima","arima","arima"
"9859","naive","naive","naive","naive"
"9860","arima","arima","arima","arima"
"9861","arima","arima","arima","arima"
"9862","arima","arima","arima","arima"
"9863","nnet","nnet","nnet","nnet"
"9864","snaive","snaive","snaive","snaive"
"9865","nnet","nnet","nnet","nnet"
"9866","snaive","snaive","snaive","snaive"
"9867","ets","ets","ets","ets"
"9868","naive","naive","naive","naive"
"9869","naive","naive","naive","naive"
"9870","snaive","snaive","snaive","snaive"
"9871","naive","naive","naive","naive"
"9872","snaive","snaive","snaive","snaive"
"9873","naive","naive","naive","naive"
"9874","arima","arima","arima","arima"
"9875","arima","arima","arima","arima"
"9876","arima","arima","arima","arima"
"9877","snaive","snaive","snaive","snaive"
"9878","nnet","nnet","nnet","nnet"
"9879","naive","naive","naive","naive"
"9880","snaive","snaive","snaive","snaive"
"9881","snaive","snaive","snaive","snaive"
"9882","nnet","nnet","nnet","nnet"
"9883","snaive","snaive","snaive","snaive"
"9884","nnet","nnet","nnet","nnet"
"9885","naive","naive","naive","naive"
"9886","snaive","snaive","snaive","snaive"
"9887","nnet","nnet","nnet","nnet"
"9888","naive","naive","naive","naive"
"9889","nnet","nnet","nnet","nnet"
"9890","arima","arima","arima","arima"
"9891","ets","ets","ets","ets"
"9892","nnet","nnet","nnet","nnet"
"9893","ets","naive","naive","naive"
"9894","arima","arima","arima","arima"
"9895","ets","ets","ets","ets"
"9896","arima","arima","arima","arima"
"9897","ets","ets","ets","ets"
"9898","arima","arima","arima","arima"
"9899","ets","ets","ets","ets"
"9900","snaive","naive","naive","naive"
"9901","nnet","nnet","nnet","nnet"
"9902","nnet","nnet","nnet","nnet"
"9903","ets","arima","ets","ets"
"9904","snaive","nnet","snaive","snaive"
"9905","naive","arima","arima","arima"
"9906","arima","nnet","arima","arima"
"9907","naive","naive","naive","naive"
"9908","nnet","nnet","nnet","nnet"
"9909","arima","arima","arima","arima"
"9910","snaive","snaive","snaive","snaive"
"9911","nnet","nnet","nnet","nnet"
"9912","snaive","snaive","snaive","snaive"
"9913","arima","arima","arima","arima"
"9914","snaive","snaive","snaive","snaive"
"9915","snaive","snaive","snaive","snaive"
"9916","nnet","nnet","nnet","nnet"
"9917","naive","naive","naive","naive"
"9918","snaive","snaive","snaive","snaive"
"9919","nnet","nnet","nnet","nnet"
"9920","ets","ets","ets","ets"
"9921","nnet","nnet","nnet","nnet"
"9922","naive","naive","naive","naive"
"9923","ets","ets","ets","ets"
"9924","snaive","snaive","snaive","snaive"
"9925","naive","ets","naive","naive"
"9926","snaive","snaive","snaive","snaive"
"9927","arima","arima","arima","arima"
"9928","nnet","nnet","nnet","nnet"
"9929","naive","naive","naive","naive"
"9930","nnet","nnet","nnet","nnet"
"9931","arima","arima","arima","arima"
"9932","nnet","nnet","nnet","nnet"
"9933","nnet","nnet","nnet","nnet"
"9934","nnet","nnet","nnet","nnet"
"9935","snaive","snaive","snaive","snaive"
"9936","arima","arima","arima","arima"
"9937","ets","ets","ets","ets"
"9938","naive","naive","naive","naive"
"9939","naive","naive","naive","naive"
"9940","snaive","snaive","snaive","snaive"
"9941","naive","nnet","naive","naive"
"9942","snaive","snaive","snaive","snaive"
"9943","naive","naive","naive","naive"
"9944","ets","ets","ets","ets"
"9945","naive","arima","arima","arima"
"9946","ets","ets","ets","ets"
"9947","ets","ets","ets","ets"
"9948","naive","naive","naive","naive"
"9949","ets","ets","ets","ets"
"9950","nnet","nnet","nnet","nnet"
"9951","ets","ets","ets","ets"
"9952","arima","arima","arima","arima"
"9953","snaive","ets","snaive","snaive"
"9954","arima","arima","arima","arima"
"9955","snaive","snaive","snaive","snaive"
"9956","naive","naive","naive","naive"
"9957","ets","ets","ets","ets"
"9958","arima","arima","arima","arima"
"9959","nnet","nnet","nnet","nnet"
"9960","nnet","nnet","nnet","nnet"
"9961","naive","naive","naive","naive"
"9962","snaive","snaive","snaive","snaive"
"9963","arima","arima","arima","arima"
"9964","snaive","snaive","nnet","nnet"
"9965","nnet","nnet","nnet","nnet"
"9966","snaive","snaive","snaive","snaive"
"9967","ets","ets","ets","ets"
"9968","ets","arima","arima","arima"
"9969","arima","arima","arima","arima"
"9970","snaive","snaive","snaive","snaive"
"9971","naive","naive","naive","naive"
"9972","snaive","snaive","snaive","snaive"
"9973","snaive","snaive","snaive","snaive"
"9974","snaive","ets","snaive","snaive"
"9975","arima","arima","arima","arima"
"9976","nnet","nnet","nnet","nnet"
"9977","nnet","nnet","nnet","nnet"
"9978","arima","arima","nnet","nnet"
"9979","nnet","arima","nnet","nnet"
"9980","nnet","nnet","nnet","nnet"
"9981","naive","naive","naive","naive"
"9982","nnet","nnet","nnet","nnet"
"9983","naive","naive","naive","naive"
"9984","arima","arima","arima","arima"
"9985","snaive","snaive","snaive","snaive"
"9986","nnet","nnet","nnet","nnet"
"9987","snaive","snaive","snaive","snaive"
"9988","ets","ets","ets","ets"
"9989","snaive","snaive","snaive","snaive"
"9990","naive","naive","naive","naive"
"9991","arima","arima","arima","arima"
"9992","arima","arima","arima","arima"
"9993","nnet","nnet","nnet","nnet"
"9994","arima","arima","arima","arima"
"9995","ets","ets","ets","ets"
"9996","ets","ets","snaive","snaive"
"9997","snaive","snaive","snaive","snaive"
"9998","nnet","nnet","nnet","nnet"
"9999","naive","naive","naive","naive"
"10000","snaive","snaive","snaive","snaive"
"10001","snaive","snaive","snaive","snaive"
"10002","snaive","snaive","snaive","snaive"
"10003","ets","ets","ets","ets"
"10004","nnet","nnet","nnet","nnet"
"10005","arima","arima","arima","arima"
"10006","naive","naive","naive","naive"
"10007","ets","ets","ets","ets"
"10008","naive","naive","naive","naive"
"10009","nnet","nnet","nnet","nnet"
"10010","naive","naive","naive","naive"
"10011","ets","ets","ets","ets"
"10012","snaive","snaive","snaive","snaive"
"10013","snaive","snaive","snaive","snaive"
"10014","nnet","nnet","nnet","nnet"
"10015","snaive","nnet","nnet","nnet"
"10016","naive","naive","naive","naive"
"10017","ets","ets","ets","ets"
"10018","ets","ets","ets","ets"
"10019","ets","ets","ets","ets"
"10020","ets","ets","ets","ets"
"10021","ets","ets","ets","ets"
"10022","ets","ets","ets","ets"
"10023","ets","ets","ets","ets"
"10024","ets","ets","ets","ets"
"10025","naive","naive","naive","naive"
"10026","ets","ets","ets","ets"
"10027","ets","ets","ets","ets"
"10028","nnet","nnet","nnet","nnet"
"10029","ets","ets","ets","ets"
"10030","ets","ets","ets","ets"
"10031","ets","ets","ets","ets"
"10032","ets","ets","ets","ets"
"10033","ets","ets","ets","ets"
"10034","ets","ets","ets","ets"
"10035","ets","ets","ets","ets"
"10036","nnet","nnet","nnet","nnet"
"10037","ets","ets","ets","ets"
"10038","nnet","nnet","nnet","nnet"
"10039","ets","ets","ets","ets"
"10040","ets","ets","ets","ets"
"10041","ets","ets","ets","ets"
"10042","ets","ets","ets","ets"
"10043","ets","ets","ets","ets"
"10044","nnet","nnet","nnet","nnet"
"10045","ets","ets","ets","ets"
"10046","ets","ets","ets","ets"
"10047","nnet","nnet","nnet","nnet"
"10048","nnet","ets","nnet","nnet"
"10049","ets","ets","ets","ets"
"10050","ets","ets","ets","ets"
"10051","ets","ets","ets","ets"
"10052","ets","ets","ets","ets"
"10053","ets","ets","ets","ets"
"10054","ets","ets","ets","ets"
"10055","ets","ets","ets","ets"
"10056","ets","ets","ets","ets"
"10057","ets","ets","ets","ets"
"10058","nnet","nnet","nnet","nnet"
"10059","ets","ets","ets","ets"
"10060","nnet","nnet","nnet","nnet"
"10061","ets","ets","ets","ets"
"10062","ets","ets","ets","ets"
"10063","nnet","nnet","nnet","nnet"
"10064","ets","ets","ets","ets"
"10065","arima","arima","arima","arima"
"10066","nnet","nnet","nnet","nnet"
"10067","arima","arima","arima","arima"
"10068","arima","arima","arima","arima"
"10069","arima","arima","arima","arima"
"10070","arima","arima","arima","arima"
"10071","ets","ets","ets","ets"
"10072","ets","ets","ets","ets"
"10073","ets","ets","ets","ets"
"10074","naive","naive","naive","naive"
"10075","naive","naive","naive","naive"
"10076","arima","arima","arima","arima"
"10077","naive","naive","naive","naive"
"10078","naive","naive","naive","naive"
"10079","arima","arima","arima","arima"
"10080","arima","arima","arima","arima"
"10081","ets","ets","ets","ets"
"10082","ets","ets","ets","ets"
"10083","nnet","nnet","nnet","nnet"
"10084","nnet","nnet","nnet","nnet"
"10085","naive","naive","naive","naive"
"10086","arima","arima","arima","arima"
"10087","naive","naive","naive","naive"
"10088","arima","arima","arima","arima"
"10089","nnet","nnet","nnet","nnet"
"10090","arima","arima","arima","arima"
"10091","snaive","snaive","snaive","snaive"
"10092","snaive","snaive","snaive","snaive"
"10093","nnet","arima","nnet","nnet"
"10094","arima","arima","arima","arima"
"10095","ets","ets","ets","ets"
"10096","arima","arima","arima","arima"
"10097","arima","arima","arima","arima"
"10098","naive","naive","naive","naive"
"10099","naive","naive","naive","naive"
"10100","arima","arima","arima","arima"
"10101","arima","arima","arima","arima"
"10102","arima","arima","arima","arima"
"10103","arima","arima","arima","arima"
"10104","arima","arima","arima","arima"
"10105","ets","ets","ets","ets"
"10106","naive","arima","naive","naive"
"10107","naive","naive","naive","naive"
"10108","snaive","arima","nnet","nnet"
"10109","ets","ets","ets","ets"
"10110","arima","arima","arima","arima"
"10111","ets","ets","ets","ets"
"10112","arima","arima","arima","arima"
"10113","arima","arima","arima","arima"
"10114","arima","arima","arima","arima"
"10115","ets","ets","ets","ets"
"10116","arima","arima","arima","arima"
"10117","arima","arima","arima","arima"
"10118","ets","ets","ets","ets"
"10119","arima","arima","arima","arima"
"10120","ets","ets","ets","ets"
"10121","arima","arima","arima","arima"
"10122","arima","arima","arima","arima"
"10123","ets","ets","ets","ets"
"10124","nnet","nnet","nnet","nnet"
"10125","arima","ets","arima","arima"
"10126","ets","ets","ets","ets"
"10127","arima","nnet","arima","arima"
"10128","ets","ets","ets","ets"
"10129","ets","ets","ets","ets"
"10130","arima","arima","arima","arima"
"10131","ets","ets","ets","ets"
"10132","snaive","snaive","snaive","snaive"
"10133","ets","ets","ets","ets"
"10134","ets","ets","ets","ets"
"10135","ets","ets","ets","ets"
"10136","arima","arima","arima","arima"
"10137","ets","ets","ets","ets"
"10138","ets","ets","ets","ets"
"10139","arima","arima","arima","arima"
"10140","ets","ets","ets","ets"
"10141","arima","arima","arima","arima"
"10142","arima","arima","arima","arima"
"10143","arima","arima","arima","arima"
"10144","arima","arima","arima","arima"
"10145","arima","arima","arima","arima"
"10146","arima","ets","arima","arima"
"10147","arima","arima","arima","arima"
"10148","ets","nnet","ets","ets"
"10149","ets","ets","ets","ets"
"10150","ets","ets","ets","ets"
"10151","ets","ets","ets","ets"
"10152","arima","arima","arima","arima"
"10153","nnet","naive","nnet","nnet"
"10154","ets","ets","ets","ets"
"10155","snaive","nnet","snaive","snaive"
"10156","arima","arima","arima","arima"
"10157","arima","arima","arima","arima"
"10158","ets","ets","ets","ets"
"10159","arima","arima","arima","arima"
"10160","arima","arima","arima","arima"
"10161","arima","arima","arima","arima"
"10162","arima","arima","arima","arima"
"10163","ets","ets","ets","ets"
"10164","ets","ets","ets","ets"
"10165","nnet","arima","nnet","nnet"
"10166","ets","arima","ets","ets"
"10167","ets","ets","ets","ets"
"10168","ets","ets","ets","ets"
"10169","ets","ets","ets","ets"
"10170","ets","ets","ets","ets"
"10171","nnet","nnet","nnet","nnet"
"10172","arima","arima","arima","arima"
"10173","ets","ets","ets","ets"
"10174","snaive","arima","snaive","snaive"
"10175","snaive","snaive","snaive","snaive"
"10176","arima","arima","arima","arima"
"10177","arima","arima","arima","arima"
"10178","arima","arima","arima","arima"
"10179","arima","ets","arima","arima"
"10180","ets","ets","ets","ets"
"10181","arima","arima","arima","arima"
"10182","nnet","nnet","nnet","nnet"
"10183","arima","arima","arima","arima"
"10184","arima","arima","arima","arima"
"10185","arima","arima","arima","arima"
"10186","arima","arima","arima","arima"
"10187","arima","arima","arima","arima"
"10188","arima","arima","arima","arima"
"10189","ets","ets","ets","ets"
"10190","ets","ets","ets","ets"
"10191","ets","ets","ets","ets"
"10192","ets","ets","ets","ets"
"10193","ets","ets","ets","ets"
"10194","arima","nnet","arima","arima"
"10195","arima","arima","arima","arima"
"10196","arima","arima","arima","arima"
"10197","snaive","snaive","snaive","snaive"
"10198","arima","arima","arima","arima"
"10199","arima","arima","arima","arima"
"10200","nnet","arima","nnet","nnet"
"10201","arima","arima","arima","arima"
"10202","ets","ets","ets","ets"
"10203","arima","arima","arima","arima"
"10204","nnet","arima","nnet","nnet"
"10205","ets","ets","ets","ets"
"10206","arima","arima","arima","arima"
"10207","nnet","nnet","nnet","nnet"
"10208","arima","arima","arima","arima"
"10209","snaive","snaive","snaive","snaive"
"10210","ets","ets","ets","ets"
"10211","snaive","snaive","snaive","snaive"
"10212","arima","arima","arima","arima"
"10213","ets","ets","ets","ets"
"10214","snaive","snaive","snaive","snaive"
"10215","ets","ets","ets","ets"
"10216","ets","ets","ets","ets"
"10217","nnet","nnet","nnet","nnet"
"10218","arima","arima","arima","arima"
"10219","arima","arima","arima","arima"
"10220","ets","ets","ets","ets"
"10221","arima","arima","arima","arima"
"10222","ets","arima","ets","ets"
"10223","ets","ets","ets","ets"
"10224","ets","arima","ets","ets"
"10225","ets","ets","ets","ets"
"10226","snaive","snaive","snaive","snaive"
"10227","snaive","nnet","snaive","snaive"
"10228","ets","ets","ets","ets"
"10229","arima","arima","arima","arima"
"10230","arima","nnet","nnet","nnet"
"10231","ets","ets","ets","ets"
"10232","ets","ets","ets","ets"
"10233","ets","ets","ets","ets"
"10234","ets","ets","ets","ets"
"10235","arima","arima","arima","arima"
"10236","ets","ets","ets","ets"
"10237","ets","ets","ets","ets"
"10238","ets","ets","ets","ets"
"10239","ets","ets","ets","ets"
"10240","arima","arima","arima","arima"
"10241","snaive","snaive","snaive","snaive"
"10242","arima","arima","arima","arima"
"10243","ets","ets","nnet","nnet"
"10244","arima","ets","arima","arima"
"10245","arima","arima","arima","arima"
"10246","arima","arima","arima","arima"
"10247","arima","arima","arima","arima"
"10248","ets","ets","ets","ets"
"10249","arima","arima","arima","arima"
"10250","arima","arima","arima","arima"
"10251","naive","naive","naive","naive"
"10252","arima","arima","arima","arima"
"10253","ets","arima","ets","ets"
"10254","ets","arima","ets","ets"
"10255","naive","naive","naive","naive"
"10256","ets","ets","ets","ets"
"10257","nnet","nnet","nnet","nnet"
"10258","arima","arima","arima","arima"
"10259","snaive","snaive","snaive","snaive"
"10260","ets","ets","ets","ets"
"10261","naive","naive","naive","naive"
"10262","arima","arima","arima","arima"
"10263","arima","snaive","snaive","snaive"
"10264","nnet","nnet","nnet","nnet"
"10265","arima","arima","arima","arima"
"10266","arima","arima","arima","arima"
"10267","ets","ets","ets","ets"
"10268","arima","ets","arima","arima"
"10269","arima","arima","arima","arima"
"10270","arima","arima","arima","arima"
"10271","arima","ets","arima","arima"
"10272","ets","ets","ets","ets"
"10273","arima","arima","arima","arima"
"10274","arima","arima","arima","arima"
"10275","arima","arima","arima","arima"
"10276","arima","arima","arima","arima"
"10277","arima","arima","arima","arima"
"10278","arima","arima","arima","arima"
"10279","nnet","nnet","nnet","nnet"
"10280","arima","arima","arima","arima"
"10281","naive","naive","naive","naive"
"10282","ets","ets","ets","ets"
"10283","naive","naive","naive","naive"
"10284","ets","ets","ets","ets"
"10285","arima","arima","arima","arima"
"10286","naive","ets","naive","naive"
"10287","arima","arima","arima","arima"
"10288","nnet","nnet","nnet","nnet"
"10289","snaive","ets","ets","ets"
"10290","snaive","nnet","snaive","snaive"
"10291","ets","ets","ets","ets"
"10292","ets","ets","ets","ets"
"10293","arima","arima","arima","arima"
"10294","nnet","nnet","nnet","nnet"
"10295","nnet","nnet","nnet","nnet"
"10296","nnet","nnet","nnet","nnet"
"10297","ets","ets","ets","ets"
"10298","naive","naive","naive","naive"
"10299","arima","arima","arima","arima"
"10300","arima","arima","arima","arima"
"10301","ets","ets","ets","ets"
"10302","nnet","nnet","nnet","nnet"
"10303","arima","arima","arima","arima"
"10304","nnet","nnet","nnet","nnet"
"10305","ets","ets","ets","ets"
"10306","naive","naive","naive","naive"
"10307","ets","ets","ets","ets"
"10308","arima","arima","arima","arima"
"10309","arima","naive","arima","arima"
"10310","arima","arima","arima","arima"
"10311","naive","naive","naive","naive"
"10312","ets","ets","ets","ets"
"10313","naive","naive","naive","naive"
"10314","ets","ets","ets","ets"
"10315","ets","ets","ets","ets"
"10316","snaive","snaive","snaive","snaive"
"10317","ets","ets","ets","ets"
"10318","nnet","nnet","nnet","nnet"
"10319","naive","naive","naive","naive"
"10320","arima","arima","arima","arima"
"10321","arima","arima","arima","arima"
"10322","nnet","nnet","nnet","nnet"
"10323","nnet","nnet","nnet","nnet"
"10324","arima","arima","arima","arima"
"10325","naive","naive","naive","naive"
"10326","nnet","naive","nnet","nnet"
"10327","snaive","snaive","snaive","snaive"
"10328","arima","naive","arima","arima"
"10329","arima","arima","arima","arima"
"10330","nnet","nnet","nnet","nnet"
"10331","snaive","nnet","snaive","snaive"
"10332","arima","arima","arima","arima"
"10333","arima","arima","arima","arima"
"10334","naive","naive","naive","naive"
"10335","nnet","nnet","nnet","nnet"
"10336","nnet","nnet","nnet","nnet"
"10337","nnet","nnet","nnet","nnet"
"10338","nnet","nnet","nnet","nnet"
"10339","naive","arima","naive","naive"
"10340","naive","naive","naive","naive"
"10341","ets","ets","ets","ets"
"10342","nnet","nnet","nnet","nnet"
"10343","arima","arima","arima","arima"
"10344","nnet","nnet","nnet","nnet"
"10345","arima","arima","arima","arima"
"10346","snaive","snaive","snaive","snaive"
"10347","nnet","nnet","nnet","nnet"
"10348","naive","naive","naive","naive"
"10349","snaive","arima","snaive","snaive"
"10350","naive","arima","naive","naive"
"10351","snaive","snaive","snaive","snaive"
"10352","naive","naive","naive","naive"
"10353","naive","naive","naive","naive"
"10354","arima","arima","arima","arima"
"10355","naive","naive","naive","naive"
"10356","nnet","nnet","nnet","nnet"
"10357","arima","arima","arima","arima"
"10358","ets","ets","ets","ets"
"10359","ets","ets","ets","ets"
"10360","arima","arima","arima","arima"
"10361","ets","ets","ets","ets"
"10362","ets","ets","ets","ets"
"10363","snaive","snaive","snaive","snaive"
"10364","ets","ets","ets","ets"
"10365","ets","ets","ets","ets"
"10366","ets","ets","ets","ets"
"10367","ets","ets","ets","ets"
"10368","arima","arima","arima","arima"
"10369","snaive","snaive","snaive","snaive"
"10370","nnet","ets","nnet","nnet"
"10371","arima","arima","arima","arima"
"10372","arima","arima","arima","arima"
"10373","arima","arima","arima","arima"
"10374","ets","ets","ets","ets"
"10375","nnet","nnet","nnet","nnet"
"10376","ets","arima","ets","ets"
"10377","nnet","nnet","nnet","nnet"
"10378","nnet","arima","nnet","nnet"
"10379","arima","arima","arima","arima"
"10380","ets","ets","ets","ets"
"10381","ets","ets","ets","ets"
"10382","ets","ets","ets","ets"
"10383","naive","naive","naive","naive"
"10384","ets","ets","ets","ets"
"10385","naive","naive","naive","naive"
"10386","nnet","nnet","nnet","nnet"
"10387","arima","arima","arima","arima"
"10388","naive","naive","naive","naive"
"10389","arima","arima","arima","arima"
"10390","arima","arima","arima","arima"
"10391","arima","arima","arima","arima"
"10392","arima","arima","arima","arima"
"10393","ets","ets","ets","ets"
"10394","arima","arima","arima","arima"
"10395","arima","arima","arima","arima"
"10396","arima","arima","arima","arima"
"10397","ets","ets","ets","ets"
"10398","nnet","nnet","nnet","nnet"
"10399","arima","arima","arima","arima"
"10400","ets","ets","ets","ets"
"10401","snaive","snaive","snaive","snaive"
"10402","arima","arima","arima","arima"
"10403","arima","arima","arima","arima"
"10404","ets","ets","ets","ets"
"10405","nnet","nnet","nnet","nnet"
"10406","nnet","nnet","nnet","nnet"
"10407","ets","ets","ets","ets"
"10408","arima","arima","arima","arima"
"10409","ets","snaive","ets","ets"
"10410","nnet","nnet","nnet","nnet"
"10411","arima","ets","ets","ets"
"10412","arima","arima","arima","arima"
"10413","ets","ets","ets","ets"
"10414","arima","arima","arima","arima"
"10415","ets","ets","ets","ets"
"10416","arima","arima","arima","arima"
"10417","ets","ets","ets","ets"
"10418","nnet","nnet","nnet","nnet"
"10419","ets","ets","ets","ets"
"10420","nnet","nnet","nnet","nnet"
"10421","naive","naive","naive","naive"
"10422","nnet","nnet","nnet","nnet"
"10423","nnet","nnet","nnet","nnet"
"10424","ets","ets","ets","ets"
"10425","nnet","nnet","nnet","nnet"
"10426","ets","ets","ets","ets"
"10427","nnet","nnet","nnet","nnet"
"10428","ets","ets","ets","ets"
"10429","arima","arima","arima","arima"
"10430","snaive","snaive","snaive","snaive"
"10431","nnet","nnet","nnet","nnet"
"10432","nnet","nnet","nnet","nnet"
"10433","ets","ets","ets","ets"
"10434","snaive","snaive","snaive","snaive"
"10435","ets","ets","ets","ets"
"10436","ets","ets","ets","ets"
"10437","naive","naive","naive","naive"
"10438","snaive","arima","snaive","snaive"
"10439","arima","arima","arima","arima"
"10440","naive","naive","naive","naive"
"10441","naive","naive","naive","naive"
"10442","arima","arima","arima","arima"
"10443","naive","naive","naive","naive"
"10444","snaive","snaive","snaive","snaive"
"10445","nnet","nnet","nnet","nnet"
"10446","ets","ets","ets","ets"
"10447","snaive","snaive","snaive","snaive"
"10448","nnet","nnet","nnet","nnet"
"10449","arima","arima","arima","arima"
"10450","snaive","snaive","snaive","snaive"
"10451","snaive","snaive","snaive","snaive"
"10452","snaive","snaive","snaive","snaive"
"10453","arima","arima","arima","arima"
"10454","naive","naive","naive","naive"
"10455","arima","arima","arima","arima"
"10456","nnet","nnet","nnet","nnet"
"10457","ets","ets","ets","ets"
"10458","snaive","snaive","snaive","snaive"
"10459","naive","naive","naive","naive"
"10460","nnet","nnet","nnet","nnet"
"10461","nnet","nnet","nnet","nnet"
"10462","ets","ets","ets","ets"
"10463","ets","ets","ets","ets"
"10464","snaive","nnet","snaive","snaive"
"10465","arima","arima","arima","arima"
"10466","snaive","snaive","snaive","snaive"
"10467","nnet","nnet","nnet","nnet"
"10468","arima","arima","arima","arima"
"10469","arima","arima","arima","arima"
"10470","nnet","nnet","nnet","nnet"
"10471","ets","ets","ets","ets"
"10472","nnet","nnet","nnet","nnet"
"10473","naive","naive","naive","naive"
"10474","naive","naive","naive","naive"
"10475","nnet","nnet","nnet","nnet"
"10476","ets","ets","ets","ets"
"10477","arima","arima","arima","arima"
"10478","arima","arima","arima","arima"
"10479","nnet","nnet","nnet","nnet"
"10480","nnet","nnet","nnet","nnet"
"10481","arima","arima","arima","arima"
"10482","ets","ets","ets","ets"
"10483","snaive","snaive","snaive","snaive"
"10484","ets","ets","ets","ets"
"10485","arima","arima","arima","arima"
"10486","nnet","nnet","nnet","nnet"
"10487","ets","ets","ets","ets"
"10488","arima","arima","arima","arima"
"10489","naive","naive","naive","naive"
"10490","nnet","nnet","nnet","nnet"
"10491","nnet","nnet","nnet","nnet"
"10492","naive","naive","naive","naive"
"10493","naive","naive","naive","naive"
"10494","arima","arima","arima","arima"
"10495","arima","arima","arima","arima"
"10496","naive","naive","naive","naive"
"10497","naive","naive","naive","naive"
"10498","naive","naive","naive","naive"
"10499","ets","ets","ets","ets"
"10500","nnet","nnet","nnet","nnet"
"10501","nnet","nnet","nnet","nnet"
"10502","nnet","nnet","nnet","nnet"
"10503","nnet","nnet","nnet","nnet"
"10504","nnet","nnet","nnet","nnet"
"10505","snaive","snaive","snaive","snaive"
"10506","naive","naive","naive","naive"
"10507","nnet","nnet","nnet","nnet"
"10508","arima","arima","arima","arima"
"10509","ets","ets","ets","ets"
"10510","nnet","nnet","nnet","nnet"
"10511","naive","naive","naive","naive"
"10512","arima","arima","arima","arima"
"10513","nnet","nnet","nnet","nnet"
"10514","arima","arima","arima","arima"
"10515","snaive","snaive","snaive","snaive"
"10516","ets","ets","ets","ets"
"10517","snaive","snaive","snaive","snaive"
"10518","ets","ets","ets","ets"
"10519","ets","ets","ets","ets"
"10520","nnet","nnet","nnet","nnet"
"10521","nnet","nnet","nnet","nnet"
"10522","ets","ets","ets","ets"
"10523","ets","arima","ets","ets"
"10524","snaive","snaive","snaive","snaive"
"10525","naive","naive","naive","naive"
"10526","ets","ets","ets","ets"
"10527","arima","arima","arima","arima"
"10528","ets","ets","ets","ets"
"10529","arima","arima","arima","arima"
"10530","arima","arima","arima","arima"
"10531","ets","ets","ets","ets"
"10532","ets","ets","ets","ets"
"10533","naive","naive","naive","naive"
"10534","naive","ets","naive","naive"
"10535","arima","arima","arima","arima"
"10536","arima","arima","arima","arima"
"10537","snaive","snaive","snaive","snaive"
"10538","nnet","nnet","nnet","nnet"
"10539","naive","naive","naive","naive"
"10540","arima","arima","arima","arima"
"10541","naive","naive","naive","naive"
"10542","naive","naive","naive","naive"
"10543","ets","ets","arima","arima"
"10544","nnet","nnet","nnet","nnet"
"10545","snaive","snaive","snaive","snaive"
"10546","ets","ets","ets","ets"
"10547","nnet","nnet","nnet","nnet"
"10548","naive","naive","naive","naive"
"10549","nnet","nnet","nnet","nnet"
"10550","naive","naive","naive","naive"
"10551","arima","arima","arima","arima"
"10552","ets","ets","ets","ets"
"10553","ets","ets","ets","ets"
"10554","naive","naive","naive","naive"
"10555","naive","snaive","naive","ets"
"10556","ets","ets","ets","ets"
"10557","ets","ets","ets","ets"
"10558","ets","ets","ets","ets"
"10559","arima","arima","arima","arima"
"10560","arima","arima","arima","arima"
"10561","snaive","snaive","snaive","snaive"
"10562","naive","ets","naive","naive"
"10563","snaive","snaive","snaive","snaive"
"10564","arima","arima","arima","arima"
"10565","arima","arima","arima","arima"
"10566","arima","arima","arima","arima"
"10567","nnet","nnet","nnet","nnet"
"10568","arima","arima","arima","arima"
"10569","arima","arima","arima","arima"
"10570","ets","ets","ets","ets"
"10571","ets","ets","ets","ets"
"10572","naive","naive","naive","naive"
"10573","naive","snaive","naive","naive"
"10574","ets","ets","ets","ets"
"10575","ets","ets","ets","ets"
"10576","arima","arima","arima","arima"
"10577","ets","ets","ets","ets"
